,hour,minute,second,time-hr-min-sec,date,tvoc_ppb,temp_c,rh_percent,light_lux,co2eq_ppm,dist_mm,co2eq_base,tvoc_base,abs_humid,home,sensor,Will,Maggie,Kurt,Sade,number,occupied
2019-03-07 00:00:00,00,00,00,00:00:00,2019-03-07,12,23.899999618530273,23.100000381469727,42.0,938,579,35186,35568,4.997980046693001,H1,BS3,1,1,1,1,4,1
2019-03-07 00:00:10,00,00,10,00:00:10,2019-03-07,10,23.899999618530273,23.100000381469727,41.0,950,566,35186,35568,4.997980046693001,H1,BS3,1,1,1,1,4,1
2019-03-07 00:00:20,00,00,20,00:00:20,2019-03-07,15,24.0,23.200000762939453,41.0,918,556,35186,35568,5.048202078516723,H1,BS3,1,1,1,1,4,1
2019-03-07 00:00:30,00,00,30,00:00:30,2019-03-07,16,23.899999618530273,23.200000762939453,41.0,954,569,35186,35568,5.01961640612996,H1,BS3,1,1,1,1,4,1
2019-03-07 00:00:40,00,00,40,00:00:40,2019-03-07,17,24.0,23.200000762939453,44.0,920,190,35186,35568,5.048202078516723,H1,BS3,1,1,1,1,4,1
2019-03-07 00:00:50,00,00,50,00:00:50,2019-03-07,14,23.899999618530273,23.100000381469727,36.0,922,565,35186,35568,4.997980046693001,H1,BS3,1,1,1,1,4,1
2019-03-07 00:01:00,00,01,00,00:01:00,2019-03-07,14,23.899999618530273,23.0,36.0,906,569,35186,35568,4.9763436872560405,H1,BS3,1,1,1,1,4,1
2019-03-07 00:01:10,00,01,10,00:01:10,2019-03-07,0,23.899999618530273,23.0,44.0,934,567,35186,35568,4.9763436872560405,H1,BS3,1,1,1,1,4,1
2019-03-07 00:01:20,00,01,20,00:01:20,2019-03-07,8,23.899999618530273,23.0,44.0,923,579,35186,35568,4.9763436872560405,H1,BS3,1,1,1,1,4,1
2019-03-07 00:01:30,00,01,30,00:01:30,2019-03-07,14,23.899999618530273,23.0,37.0,894,182,35186,35568,4.9763436872560405,H1,BS3,1,1,1,1,4,1
2019-03-07 00:01:40,00,01,40,00:01:40,2019-03-07,0,23.899999618530273,23.0,44.0,805,571,35186,35569,4.9763436872560405,H1,BS3,1,1,1,1,4,1
2019-03-07 00:01:50,00,01,50,00:01:50,2019-03-07,0,23.899999618530273,22.799999237060547,44.0,925,577,35186,35569,4.933070968382122,H1,BS3,1,1,1,1,4,1
2019-03-07 00:02:00,00,02,00,00:02:00,2019-03-07,3,23.899999618530273,22.899999618530273,44.0,899,580,35186,35570,4.954707327819081,H1,BS3,1,1,1,1,4,1
2019-03-07 00:02:10,00,02,10,00:02:10,2019-03-07,0,23.899999618530273,23.0,44.0,918,573,35186,35570,4.9763436872560405,H1,BS3,1,1,1,1,4,1
2019-03-07 00:02:20,00,02,20,00:02:20,2019-03-07,15,23.899999618530273,23.0,44.0,931,188,35186,35570,4.9763436872560405,H1,BS3,1,1,1,1,4,1
2019-03-07 00:02:30,00,02,30,00:02:30,2019-03-07,12,23.899999618530273,23.0,44.0,908,569,35186,35570,4.9763436872560405,H1,BS3,1,1,1,1,4,1
2019-03-07 00:02:40,00,02,40,00:02:40,2019-03-07,10,23.899999618530273,23.100000381469727,36.0,903,575,35186,35570,4.997980046693001,H1,BS3,1,1,1,1,4,1
2019-03-07 00:02:50,00,02,50,00:02:50,2019-03-07,1,23.899999618530273,23.0,36.0,904,173,35186,35570,4.9763436872560405,H1,BS3,1,1,1,1,4,1
2019-03-07 00:03:00,00,03,00,00:03:00,2019-03-07,8,23.899999618530273,23.0,36.0,890,193,35186,35570,4.9763436872560405,H1,BS3,1,1,1,1,4,1
2019-03-07 00:03:10,00,03,10,00:03:10,2019-03-07,12,23.799999237060547,23.0,36.0,918,571,35186,35570,4.948143206636847,H1,BS3,1,1,1,1,4,1
2019-03-07 00:03:20,00,03,20,00:03:20,2019-03-07,9,23.799999237060547,23.0,36.0,945,560,35186,35570,4.948143206636847,H1,BS3,1,1,1,1,4,1
