,hour,minute,second,time-hr-min-sec,date,tvoc_ppb,temp_c,rh_percent,light_lux,co2eq_ppm,dist_mm,co2eq_base,tvoc_base,abs_humid,home,sensor,Will,Maggie,Kurt,Sade,number,occupied
2019-03-27 00:00:00,00,00,00,00:00:00,2019-03-27,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-27 00:00:10,00,00,10,00:00:10,2019-03-27,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-27 00:00:20,00,00,20,00:00:20,2019-03-27,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-27 00:00:30,00,00,30,00:00:30,2019-03-27,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-27 00:00:40,00,00,40,00:00:40,2019-03-27,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-27 00:00:50,00,00,50,00:00:50,2019-03-27,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-27 00:01:00,00,01,00,00:01:00,2019-03-27,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-27 00:01:10,00,01,10,00:01:10,2019-03-27,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-27 00:01:20,00,01,20,00:01:20,2019-03-27,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-27 00:01:30,00,01,30,00:01:30,2019-03-27,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-27 00:01:40,00,01,40,00:01:40,2019-03-27,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-27 00:01:50,00,01,50,00:01:50,2019-03-27,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-27 00:02:00,00,02,00,00:02:00,2019-03-27,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-27 00:02:10,00,02,10,00:02:10,2019-03-27,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-27 00:02:20,00,02,20,00:02:20,2019-03-27,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-27 00:02:30,00,02,30,00:02:30,2019-03-27,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-27 00:02:40,00,02,40,00:02:40,2019-03-27,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-27 00:02:50,00,02,50,00:02:50,2019-03-27,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-27 00:03:00,00,03,00,00:03:00,2019-03-27,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-27 00:03:10,00,03,10,00:03:10,2019-03-27,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-27 00:03:20,00,03,20,00:03:20,2019-03-27,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-27 00:03:30,00,03,30,00:03:30,2019-03-27,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-27 00:03:40,00,03,40,00:03:40,2019-03-27,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-27 00:03:50,00,03,50,00:03:50,2019-03-27,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-27 00:04:00,00,04,00,00:04:00,2019-03-27,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-27 00:04:10,00,04,10,00:04:10,2019-03-27,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-27 00:04:20,00,04,20,00:04:20,2019-03-27,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-27 00:04:30,00,04,30,00:04:30,2019-03-27,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-27 00:04:40,00,04,40,00:04:40,2019-03-27,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-27 00:04:50,00,04,50,00:04:50,2019-03-27,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-27 00:05:00,00,05,00,00:05:00,2019-03-27,0,24.100000381469727,29.0,0.0,669,560,35186,35525,6.34616015498208,H1,BS3,1,1,1,1,4,1
2019-03-27 00:05:10,00,05,10,00:05:10,2019-03-27,0,24.100000381469727,29.0,0.0,656,559,35186,35525,6.34616015498208,H1,BS3,1,1,1,1,4,1
2019-03-27 00:05:20,00,05,20,00:05:20,2019-03-27,0,24.100000381469727,29.0,0.0,671,557,35186,35526,6.34616015498208,H1,BS3,1,1,1,1,4,1
2019-03-27 00:05:30,00,05,30,00:05:30,2019-03-27,0,24.100000381469727,29.0,0.0,669,556,35186,35526,6.34616015498208,H1,BS3,1,1,1,1,4,1
2019-03-27 00:05:40,00,05,40,00:05:40,2019-03-27,0,24.100000381469727,29.0,0.0,664,555,35186,35527,6.34616015498208,H1,BS3,1,1,1,1,4,1
2019-03-27 00:05:50,00,05,50,00:05:50,2019-03-27,0,24.100000381469727,28.899999618530273,0.0,638,558,35186,35527,6.324276760624625,H1,BS3,1,1,1,1,4,1
2019-03-27 00:06:00,00,06,00,00:06:00,2019-03-27,0,24.100000381469727,28.899999618530273,0.0,643,560,35186,35528,6.324276760624625,H1,BS3,1,1,1,1,4,1
